,task_id,source,ClaimantType
290,6cd7d802-c3c5-47c2-b5ba-0f226e8dd413,a groundbreaking new study,"        6. inanimate and generic objects (e.g., ""a study"")"
291,68aa1618-7669-4871-bdb4-7bc6152720b7,"( Michael Bruce , CDC , unpublished data )","        6. inanimate and generic objects (e.g., ""a study"")"
292,6c2d7146-8dd4-4f90-b220-765ecc40b92d,the article,"        6. inanimate and generic objects (e.g., ""a study"")"
293,6cec86ff-5e1e-4ea0-b2de-02783f40415a,A small number of parents that we interviewed,"        5. collective roles (e..g., ""doctors"")"
294,6ca28628-38e9-45a9-8241-b48756c54b3b,state health officials,"        5. collective roles (e..g., ""doctors"")"
295,6d9b29cc-b7e2-42e8-9a85-47ae5c4ed628,Health departments,"        6. inanimate and generic objects (e.g., ""a study"")"
296,6d5bdf51-856e-4ff1-83ee-17d3abb09032,a controlled study published in BMJ in school age children,"        6. inanimate and generic objects (e.g., ""a study"")"
297,6d48ab90-1cd7-4647-ae7e-4cd414c62f1a,"Reich , who is the author of \"" Calling the Shots : Why Parents Reject Vaccines \"" ( NYU Press , 2016 )","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
298,6be10404-b935-4266-94e8-28f55d4589ec,Effect of measles and measles vaccine on serum cholesterol .,"        6. inanimate and generic objects (e.g., ""a study"")"
299,66e203dc-a096-4087-839d-3c87274e6aab,Experts,"        5. collective roles (e..g., ""doctors"")"
300,6a74d4f6-53a5-4a35-b4f9-20a249d00e63,one study,"        6. inanimate and generic objects (e.g., ""a study"")"
301,6d2b8bee-5d74-4979-9d73-0c987ebdeab6,The media,"        6. inanimate and generic objects (e.g., ""a study"")"
302,6afbced8-fc9a-464a-8944-090a59856245,people,"          4. collective expressions (e.g. ""some people"")"
303,68ca6aeb-4fae-4ac7-9d48-79b31b4c9b8d,the country,"        6. inanimate and generic objects (e.g., ""a study"")"
304,6b94914b-b74a-433a-99cf-74097371284a,a controlled study published in BMJ in school age children,"        6. inanimate and generic objects (e.g., ""a study"")"
305,6a3fff25-293d-4897-ae07-e1b1c10ea49e,your veterinarian,"        3. role or profession without further specifications (e.g., ""a doctor"")"
306,677d20c6-65a7-489b-bac3-7d0800077a87,Many people,"          4. collective expressions (e.g. ""some people"")"
307,60fe7dc3-0469-4669-a40b-a775fc242fe6,29 ( 43 % ),"        6. inanimate and generic objects (e.g., ""a study"")"
308,6a1597f1-1b51-4241-9d2a-971a50805573,the US Institute of Medicine,"        6. inanimate and generic objects (e.g., ""a study"")"
309,611c5558-32ee-4faf-b72a-7844bc55c5ef,the government,"        6. inanimate and generic objects (e.g., ""a study"")"
310,6901b2d1-84f6-4c69-a787-538f134bf9e9,CNBC,"        6. inanimate and generic objects (e.g., ""a study"")"
311,60a8929a-0db2-4c24-b196-dfec95910c0e,a phone call,"        6. inanimate and generic objects (e.g., ""a study"")"
312,644b5354-3396-4808-9d57-4f89bbc01214,an online report,"        6. inanimate and generic objects (e.g., ""a study"")"
313,684b48e9-979f-4868-bda9-592d537fb4cd,the advice,"        6. inanimate and generic objects (e.g., ""a study"")"
314,657fcd2c-8a95-4536-874c-8774afe57341,no sound scientific evidence,"        6. inanimate and generic objects (e.g., ""a study"")"
315,639aed3b-de9d-4f61-8208-2bbb91ad23b5,This case report,"        6. inanimate and generic objects (e.g., ""a study"")"
316,67136079-0964-4f13-925d-40896f37904d,most of the people stricken with Mickey Mouse measles,"          4. collective expressions (e.g. ""some people"")"
317,677997af-7096-487c-b5df-4d6f55f84a1a,Most doctors I asked,"        5. collective roles (e..g., ""doctors"")"
318,66a825e3-7484-4a47-8466-b354276bd5ae,health and school officials,"        5. collective roles (e..g., ""doctors"")"
319,663b6a74-c6e3-44b6-a714-5ceba04de5ba,"( Michael Bruce , CDC , unpublished data )","        6. inanimate and generic objects (e.g., ""a study"")"
320,6473ac1a-b64e-4ddd-857d-389ab761ee03,the nursing school where I am enrolled,"        6. inanimate and generic objects (e.g., ""a study"")"
321,5d06d171-ad72-44f7-a2df-ca9b9a6b82fb,Priests throughout Kenya,"        5. collective roles (e..g., ""doctors"")"
322,63115a3b-8ee4-4e6e-8b19-5f6bc489eebd,The media,"        6. inanimate and generic objects (e.g., ""a study"")"
323,6002f103-4038-4692-9433-589e1e574c60,ACIP,"        6. inanimate and generic objects (e.g., ""a study"")"
324,625e1536-89fd-407d-bb85-f828ad308d45,easytraveler,"        6. inanimate and generic objects (e.g., ""a study"")"
325,352287bd-c3d8-45cc-92c6-de0ab888dd44,no sound scientific evidence,"        6. inanimate and generic objects (e.g., ""a study"")"
326,62fd6784-5f51-4dc3-a271-3b6d2599816c,a groundbreaking new study,"        6. inanimate and generic objects (e.g., ""a study"")"
327,5f18f6a5-6e3c-4249-ab5b-1543d61b398b,Dr. Hotez,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
328,5dec6498-35aa-4936-8050-6e2d8838b857,The doctors,"        5. collective roles (e..g., ""doctors"")"
329,5ef90281-0e70-49a4-874f-f83dd8b7a8d9,"Jenna Mize , associate veterinarian at the Firehouse Animal Center in Austin ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
330,60df5414-174c-4b73-a534-241ef6b2aade,the NY Medical Examiner ( Dr. Persechino ),"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
331,6124907e-7528-40d1-812e-7c161e40e169,most of the people stricken with Mickey Mouse measles,"          4. collective expressions (e.g. ""some people"")"
332,5f4ae48a-fae9-46ad-8e14-6b125c6cbeaf,the advice,"        6. inanimate and generic objects (e.g., ""a study"")"
333,5fe9aae5-792e-495e-9c90-a81135bbfee4,City News Service and Patch Editor Renee Schiavone,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
334,5e187b50-7059-4ab6-9ca5-0a0ffa557e2f,Ngare,"        1. named individuals (e.g., ""Donald Trump"")"
335,5f223a6a-d6b7-4adc-b381-3c833c708ddd,"Conway et al. , 1993","        6. inanimate and generic objects (e.g., ""a study"")"
336,5af1e04f-9bc1-438a-8678-ef77e1f8fe81,Durbin,"        1. named individuals (e.g., ""Donald Trump"")"
337,5cdc8810-9551-4e33-bb53-2b37bca0b198,Arch Intern Med 154:1815-1820,"        6. inanimate and generic objects (e.g., ""a study"")"
338,5a64283a-080e-433a-9d9e-aa02ea479259,the US Institute of Medicine,"        6. inanimate and generic objects (e.g., ""a study"")"
339,54c44767-f415-48ec-b0ff-f8ff1145df16,At least one study,"        6. inanimate and generic objects (e.g., ""a study"")"
340,5d1603b3-0487-411f-9ddb-111c7f25be70,an article,"        6. inanimate and generic objects (e.g., ""a study"")"
341,5e1cab1f-34a3-41ce-bf9c-781a07e8c3bf,"Your pediatrician and his handy marketing piece , the Vaccine Information Statement ( VIS ) ,","        3. role or profession without further specifications (e.g., ""a doctor"")"
342,5bc6f92f-dc9f-448d-8b6a-e23f700f24c7,anybody,"          4. collective expressions (e.g. ""some people"")"
343,5d39da32-9b7c-40dc-a676-825adac6a312,Effect of measles and measles vaccine on serum cholesterol .,"        6. inanimate and generic objects (e.g., ""a study"")"
344,59666ca3-c1fc-4c3e-a606-6dfbebc8400f,Laura Ballegeer,"        1. named individuals (e.g., ""Donald Trump"")"
345,5963d9e0-694e-4bd2-88c4-0ef2c7ba28f2,Vikari et al. ( 1979 .,"        6. inanimate and generic objects (e.g., ""a study"")"
346,59752329-59c1-4281-b131-59623a54c27f,Prasad Shrivatsa,"        1. named individuals (e.g., ""Donald Trump"")"
347,5adef7de-b446-4f5e-8a1f-2b3e72c93a0e,evidence,"        6. inanimate and generic objects (e.g., ""a study"")"
348,5942e35c-56d4-4f1f-8151-b0caae3564c7,the article,"        6. inanimate and generic objects (e.g., ""a study"")"
349,597a3a0c-b5bd-4939-92e7-030e17662f95,evidence,"        6. inanimate and generic objects (e.g., ""a study"")"
350,53f9bacf-85ce-4eb4-8e76-bc43f4e63bdc,Osterholm,"        1. named individuals (e.g., ""Donald Trump"")"
351,50cb7040-e08e-465b-902f-9474272d0049,Serologic studies in 2 dogs and virus isolation from the 3rd dog,"        6. inanimate and generic objects (e.g., ""a study"")"
352,52f1a263-e9ca-43c0-b2d0-b68699b2c359,Effect of measles and measles vaccine on serum cholesterol .,"        6. inanimate and generic objects (e.g., ""a study"")"
353,502041f5-66b0-4e61-887a-dcd1faa74460,the advice,"        6. inanimate and generic objects (e.g., ""a study"")"
354,514a0f74-47fb-4375-a6ae-522178cc9b20,A small number of parents that we interviewed,"        5. collective roles (e..g., ""doctors"")"
355,53b68038-f8dc-454b-864a-1d390d91e343,"This study , which I refer to as \"" The French Study \""","        6. inanimate and generic objects (e.g., ""a study"")"
356,5220bc23-5edd-4a79-964f-9d7ce3b58824,Stephen Krahling,"        1. named individuals (e.g., ""Donald Trump"")"
357,5497a602-dc5f-4535-a120-d974addc17ff,some parents,"        5. collective roles (e..g., ""doctors"")"
358,512515e6-bf1f-47af-9992-d4f782cce753,The World Health Organization,"        6. inanimate and generic objects (e.g., ""a study"")"
359,535726a4-64b7-4117-b03d-d71d19159ee3,people,"          4. collective expressions (e.g. ""some people"")"
360,52ec08a8-390d-4eb7-af35-f07971447e89,"Laura Hayes Mother of Vaccine Injured Children Passionate about educating others and encouraging them to learn about the myriad dangers and inefficacies of vaccines , the fallacy of the theory behind them , and the vast web of fraud and deception involved in supporting and mandating them","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
361,48748d1e-5f08-4c42-8b32-f82686f318d3,Beth Noelle,"        1. named individuals (e.g., ""Donald Trump"")"
362,5197b9a3-b460-476c-9ebd-ae2f80e4b391,Richard Feynman,"        1. named individuals (e.g., ""Donald Trump"")"
363,4dce6d02-3f38-419f-a828-25115626ad28,The doctors,"        5. collective roles (e..g., ""doctors"")"
364,49fd5e6d-4d4b-4ff2-b991-5a578e7c80cb,a phone call,"        6. inanimate and generic objects (e.g., ""a study"")"
365,501c3649-97d6-4d8e-b91f-a8c7fb5d57d0,no sound scientific evidence,"        6. inanimate and generic objects (e.g., ""a study"")"
366,47864b1f-2cc4-4c8e-b82a-ee2fd50b6cae,Some observational studies,"        6. inanimate and generic objects (e.g., ""a study"")"
367,4a522a04-540c-42fa-849f-aa9209122a42,"( Michael Bruce , CDC , unpublished data )","        6. inanimate and generic objects (e.g., ""a study"")"
368,4ce484d9-a816-4521-8a09-ab0d1cd94bfe,Boston Children ’s Hospital ’s Majumder,"        1. named individuals (e.g., ""Donald Trump"")"
369,50adacd8-9a05-458c-a951-61d2e6766eb4,A small number of parents that we interviewed,"        5. collective roles (e..g., ""doctors"")"
370,4ea22977-082a-4a02-ac99-bd77e57852ac,Arch Intern Med 154:1815-1820,"        6. inanimate and generic objects (e.g., ""a study"")"
371,46abb06e-d069-4ec8-9b3f-bbee5a052ff6,Majumder,"        1. named individuals (e.g., ""Donald Trump"")"
372,4c465631-42fd-4e76-a4cf-11ac4fdf7b4c,a controlled study published in BMJ in school age children,"        6. inanimate and generic objects (e.g., ""a study"")"
373,4c2fa6dc-4ce0-4c8c-8d8d-88856dcb187a,a Brazilian team,"          4. collective expressions (e.g. ""some people"")"
374,458dc993-5c35-4256-958e-87d38b3f9359,one study,"        6. inanimate and generic objects (e.g., ""a study"")"
375,41eaef91-e6e3-4ce6-af99-0cbad583c840,"Margaret Chan , WHO ’s director-general ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
376,4d0fb4cf-8840-4198-ba2a-1c2a0ecb7bda,"Dr Harris L Coulter , PhD","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
377,4641acb1-6d2e-43e7-8a59-4192e845668a,one study,"        6. inanimate and generic objects (e.g., ""a study"")"
378,4973afa0-259d-4e9d-8b65-5e6134614be6,Laura Ballegeer,"        1. named individuals (e.g., ""Donald Trump"")"
379,4a2b4bd4-6aa1-4bbe-addf-e01bb6fae241,the vast majority of medical experts,"        5. collective roles (e..g., ""doctors"")"
380,3e7a0622-bf3a-402f-bfe7-0655b1836d16,Anyone vaccinated by their own occupational health service,"          4. collective expressions (e.g. ""some people"")"
381,4a24cdb3-dddf-4f27-9a36-f4c3eb396d7e,The American Academy of Pediatrics,"        6. inanimate and generic objects (e.g., ""a study"")"
382,44a85b72-4b6e-47eb-8406-3a504484fa70,Vikari et al. ( 1979 .,"        6. inanimate and generic objects (e.g., ""a study"")"
383,41f5afa4-aedd-4158-85e2-86adb60eeb30,This case report,"        6. inanimate and generic objects (e.g., ""a study"")"
384,461dc143-c01c-4f6d-930d-0e5e0b4ddba9,A 2004 study,"        6. inanimate and generic objects (e.g., ""a study"")"
385,46ccf8f3-b2b4-4221-a83e-8b318f008615,a Brazilian team,"          4. collective expressions (e.g. ""some people"")"
386,3adf9494-c7e5-4f1d-8785-a16f68b935f3,a Brazilian team,"          4. collective expressions (e.g. ""some people"")"
387,453fc04a-9648-414c-82f5-ec067c45d914,immunization advocates,"        5. collective roles (e..g., ""doctors"")"
388,4404a687-9a21-4cf4-a229-450a72886330,one study,"        6. inanimate and generic objects (e.g., ""a study"")"
389,417102a4-174e-443d-b34c-910e00e2a076,the nursing school where I am enrolled,"        6. inanimate and generic objects (e.g., ""a study"")"
390,433393dc-bef1-42fc-ae2c-bedb9a9f819e,Vaccine supporters,"        5. collective roles (e..g., ""doctors"")"
391,3e962afe-16d7-4622-b239-aa9a6d1f7dd7,Most doctors I asked,"        5. collective roles (e..g., ""doctors"")"
392,3ddefb81-6245-4275-8388-2e52e76e8aab,Host Jake Tapper,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
393,3de0e7f5-204b-4ea5-b67b-2432170218ee,The World Health Organization,"        6. inanimate and generic objects (e.g., ""a study"")"
394,3d0a8419-75d0-4bfd-9e60-9643de3822b9,the Centers for Disease Control and Prevention ( CDC ),"        6. inanimate and generic objects (e.g., ""a study"")"
395,33327a49-36bc-4dd7-b036-ac8ccb66f9a3,JABS,"        6. inanimate and generic objects (e.g., ""a study"")"
396,3cd28c23-8256-48f0-a529-40a2c452ba62,Dunbar,"        1. named individuals (e.g., ""Donald Trump"")"
397,35ef01b3-9f09-43c4-955c-d283fa24a134,Beth Noelle,"        1. named individuals (e.g., ""Donald Trump"")"
398,3000ed73-5657-4780-8fa6-f06989f79ba1,Ngare,"        1. named individuals (e.g., ""Donald Trump"")"
399,377ab3e4-307c-436d-adc0-c958bb83b16d,An anonymous UK nurse,"        3. role or profession without further specifications (e.g., ""a doctor"")"
400,2cd3bdc5-7dd0-42c2-8ad4-933fbb29f990,two official sources of data,"        6. inanimate and generic objects (e.g., ""a study"")"
401,35e4fb6c-dfac-47c4-a10b-83f7c17e4acd,Neil Miller,"        1. named individuals (e.g., ""Donald Trump"")"
402,37f5267b-d06a-4202-bf3a-137a14ea1c77,"the Kenya Catholic Doctors Association , a pro-vaccine organization","        6. inanimate and generic objects (e.g., ""a study"")"
403,35ac5934-1e08-4875-9f8c-5ce7efa3c0c8,29 ( 43 % ),"        6. inanimate and generic objects (e.g., ""a study"")"
404,3184b870-a360-411b-a49a-91ed4fba0171,Dr. Ngare,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
405,37b81596-1139-4d42-a322-3b2d165ca021,The CDC,"        6. inanimate and generic objects (e.g., ""a study"")"
406,35601562-f76b-4e5a-ace7-5c1b035496ed,CNBC,"        6. inanimate and generic objects (e.g., ""a study"")"
407,2ef34a6f-5485-4ed4-a1ef-b49d297419ca,29 ( 43 % ),"        6. inanimate and generic objects (e.g., ""a study"")"
408,3225d1ae-c9cd-4ffa-b8ba-f4cf2fd3b545,"Conway et al. , 1993","        6. inanimate and generic objects (e.g., ""a study"")"
409,3018cb52-5a0d-4925-be01-05e1465561d2,The esteemed Johns Hopkins Hospital,"        6. inanimate and generic objects (e.g., ""a study"")"
410,2e518ca5-b0e6-4c2f-97d3-b4eead7f7ef6,these groups,"          4. collective expressions (e.g. ""some people"")"
411,28ee2abe-712b-40d9-9e91-8a86232ea8ac,"Conway et al. , 1993","        6. inanimate and generic objects (e.g., ""a study"")"
412,3597a73f-648b-446b-8d9c-0f696725717f,"Helen Ratajczak , a former senior scientist at a pharmaceutical firm ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
413,32d9a15c-6241-401f-84d2-86ba30e61f36,Vikari et al. ( 1979 .,"        6. inanimate and generic objects (e.g., ""a study"")"
414,2e927a84-9c8f-40b2-a78e-de76b5d8f638,Host Jake Tapper,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
415,324ab843-bf9d-4af5-a4f4-b752aae12d7e,At least one study,"        6. inanimate and generic objects (e.g., ""a study"")"
416,2ddfabbc-5b0a-4429-ba0b-7f4e6a0a253b,"\"" shots \"" ( Hensley , \"" Shots , \"" NPR , 3/16 )","        6. inanimate and generic objects (e.g., ""a study"")"
417,1c137b5c-fc17-4bc8-95fe-2bb9c4d5ef96,a controlled study published in BMJ in school age children,"        6. inanimate and generic objects (e.g., ""a study"")"
418,2b6ce784-4e34-48c6-b485-c53df2a3a7ec,the nursing school where I am enrolled,"        6. inanimate and generic objects (e.g., ""a study"")"
419,2ef45aa5-8a25-46ae-8cc0-b3e0d0be2a64,Beth Noelle,"        1. named individuals (e.g., ""Donald Trump"")"
420,2dc081ea-57bf-4d25-ada6-c0f91a2d9485,"Studies from Canada , Denmark , Germany , France , and the United States","        6. inanimate and generic objects (e.g., ""a study"")"
421,2bb1db25-ed30-4351-95b9-fca9a77e19ef,public health authorities,"        5. collective roles (e..g., ""doctors"")"
422,269af0fe-2014-4098-827b-f66f9fe03a39,state health officials,"        5. collective roles (e..g., ""doctors"")"
423,2310c930-4e90-497d-9393-3a395db778e5,Dr. Offit,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
424,27a9e06b-796e-487b-a183-59c3cd2980ca,your veterinarian,"        3. role or profession without further specifications (e.g., ""a doctor"")"
425,28750d04-707f-46ed-9e9b-13d1e882a765,Anyone vaccinated by their own occupational health service,"          4. collective expressions (e.g. ""some people"")"
426,1f9daed8-d1b9-44c5-957e-acad71fef0d0,"Jenna Mize , associate veterinarian at the Firehouse Animal Center in Austin ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
427,1d0aac3a-9dca-4c00-849c-594bb7d412b2,immunization advocates,"        5. collective roles (e..g., ""doctors"")"
428,28af8632-331a-47c3-bea2-45d20838ea81,state health officials,"        5. collective roles (e..g., ""doctors"")"
429,286e5095-a16a-4c5e-9603-7aa5b7c06004,Durbin,"        1. named individuals (e.g., ""Donald Trump"")"
430,28af5969-d677-4c00-a4ca-9c680ef2b5d7,researchers,"        5. collective roles (e..g., ""doctors"")"
431,1c9c53f9-9c57-4a4d-97d7-79d10f448aa2,the Mayo Clinic,"        6. inanimate and generic objects (e.g., ""a study"")"
432,24888a95-dd96-45af-aaef-75a7e3f7c380,immunization advocates,"        5. collective roles (e..g., ""doctors"")"
433,2661ca20-4029-4c08-90a5-41318c2f9d18,Offit,"        1. named individuals (e.g., ""Donald Trump"")"
434,214ef622-6663-4835-a6cf-442eb0207d01,Durbin,"        1. named individuals (e.g., ""Donald Trump"")"
435,26ae58a4-b50b-450a-a549-9118a3f78e2e,The esteemed Johns Hopkins Hospital,"        6. inanimate and generic objects (e.g., ""a study"")"
436,266c2051-a077-4cb4-b7f9-ca8f409862a5,"( Michael Bruce , CDC , unpublished data )","        6. inanimate and generic objects (e.g., ""a study"")"
437,21d1a4d7-bbb9-478e-9edd-3addc487af19,the mainstream media who,"        6. inanimate and generic objects (e.g., ""a study"")"
438,1aef8821-dc65-4857-b449-ef6e21a1d7a5,"Reich , who is the author of \"" Calling the Shots : Why Parents Reject Vaccines \"" ( NYU Press , 2016 )","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
439,239435f1-89a6-4581-a50c-9fc0f153649f,researchers,"        5. collective roles (e..g., ""doctors"")"
440,18d84738-ee48-4e52-8b8b-472513b658b7,A 2007 study,"        6. inanimate and generic objects (e.g., ""a study"")"
441,17f196d8-2ce2-48c3-bb43-565c4ff928cb,CNBC,"        6. inanimate and generic objects (e.g., ""a study"")"
442,1eed16b2-40b5-4669-9891-783b9b10d7eb,Boston Children ’s Hospital ’s Majumder,"        1. named individuals (e.g., ""Donald Trump"")"
443,20cda963-46be-42b3-b299-d56d17b8be0c,Boston Children ’s Hospital ’s Majumder,"        1. named individuals (e.g., ""Donald Trump"")"
444,1dbec91f-08b1-4545-896d-66bc7b5223f2,the mainstream media who,"        6. inanimate and generic objects (e.g., ""a study"")"
445,1e54be7c-0b78-4e01-835c-9bd1084a5129,my kids,"        5. collective roles (e..g., ""doctors"")"
446,1b2c6d51-d3d2-442d-9d44-11326ccc51e2,most of the people stricken with Mickey Mouse measles,"          4. collective expressions (e.g. ""some people"")"
447,1a76baee-c2cf-4e56-ad18-7a4e164ffe5d,Research,"        6. inanimate and generic objects (e.g., ""a study"")"
448,0fb4c0c9-cde6-4d8e-bb16-3d192ce189b8,my kids,"        5. collective roles (e..g., ""doctors"")"
449,177022af-820f-402f-896d-2c8f6ef7e1a6,Salamone,"        1. named individuals (e.g., ""Donald Trump"")"
450,14d842b5-03f2-4594-9b12-2d73c6758c3e,people,"          4. collective expressions (e.g. ""some people"")"
451,1c809e22-6c8d-4cdf-a12a-7ea40257d4a6,so many parents,"        5. collective roles (e..g., ""doctors"")"
452,19260350-82c2-465c-a356-eb429d1a95ed,the inventors of the early measles vaccines,"        5. collective roles (e..g., ""doctors"")"
453,1aef98d1-d00d-4869-a3f8-4be145dd59a0,Beth Noelle,"        1. named individuals (e.g., ""Donald Trump"")"
454,18e17d98-1787-4ff9-abdc-2e8899e89374,Some observational studies,"        6. inanimate and generic objects (e.g., ""a study"")"
455,1a2cc2c7-9ae0-4a71-a890-84b88e36cfb4,"Helen Ratajczak , a former senior scientist at a pharmaceutical firm ,","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
456,1410bff2-9577-45d0-a7dd-b1af2d9456c4,research published on Monday in JAMA Pediatrics,"        6. inanimate and generic objects (e.g., ""a study"")"
457,1848276d-f018-4b30-9457-37ddfabdd6bb,another doctor,"        3. role or profession without further specifications (e.g., ""a doctor"")"
458,0d91ea33-188a-40d0-8114-758aa19ac1c0,"Conway et al. , 1993","        6. inanimate and generic objects (e.g., ""a study"")"
459,135d3fc6-a54d-4878-9b7c-7f919d8ae90d,Sister,"        3. role or profession without further specifications (e.g., ""a doctor"")"
460,1779e852-0679-4fcb-896b-3bf89ac609d2,your veterinarian,"        3. role or profession without further specifications (e.g., ""a doctor"")"
461,16e23037-6994-4d8c-9b8c-51eaf7b1776e,the mainstream media who,"        6. inanimate and generic objects (e.g., ""a study"")"
462,0949f060-c0e8-46e2-a397-c12174eb8041,Stef Miharas,"        1. named individuals (e.g., ""Donald Trump"")"
463,15ce6d7f-30d3-492c-b517-d1cbfc61de12,Experts,"        5. collective roles (e..g., ""doctors"")"
464,144110cb-316a-4bd3-8066-3163b76b49b6,Research,"        6. inanimate and generic objects (e.g., ""a study"")"
465,123c138c-4214-4d7a-83f8-cd356aa5fc11,The doctors,"        5. collective roles (e..g., ""doctors"")"
466,0b80018f-c45e-441b-9be2-4b07809321e5,the media ’s hysterical storyline,"        6. inanimate and generic objects (e.g., ""a study"")"
467,0f5ba8bf-7931-4614-80ca-e41b4313cf7b,29 ( 43 % ),"        6. inanimate and generic objects (e.g., ""a study"")"
468,0e8801ea-2801-49bd-930d-a518d6d491ca,an article,"        6. inanimate and generic objects (e.g., ""a study"")"
469,155a7886-a7df-462c-ab32-27c5da71e8f1,the inventors of the early measles vaccines,"        5. collective roles (e..g., ""doctors"")"
470,109d3e46-4638-45bb-b1d3-fb5de4d06414,"This study , which I refer to as \"" The French Study \""","        6. inanimate and generic objects (e.g., ""a study"")"
471,09c72d57-cd7e-4db0-8dc2-b607db460117,im,"        6. inanimate and generic objects (e.g., ""a study"")"
472,0d30d4c0-64e3-4a0e-9642-c519ad1c5012,Priests throughout Kenya,"        5. collective roles (e..g., ""doctors"")"
473,12293e98-7944-4969-9e10-0395292c7d57,im,"        6. inanimate and generic objects (e.g., ""a study"")"
474,00b118a3-158d-49cf-b4a6-fbc88abe1b99,an article,"        6. inanimate and generic objects (e.g., ""a study"")"
475,0c3803c0-a701-488a-8dbd-0c0d471785f9,Richard Feynman,"        1. named individuals (e.g., ""Donald Trump"")"
476,0fafc64c-43bf-40b9-aadf-421ea92db297,the advice,"        6. inanimate and generic objects (e.g., ""a study"")"
477,07f22d4e-732f-4d8f-b056-9e1347b8a2b2,a controlled study published in BMJ in school age children,"        6. inanimate and generic objects (e.g., ""a study"")"
478,076a6b26-faa6-4522-8974-cb8e30c9dcf4,Osterholm,"        1. named individuals (e.g., ""Donald Trump"")"
479,0d713cd1-b520-48fa-82e7-5f20425f3db4,Some observational studies,"        6. inanimate and generic objects (e.g., ""a study"")"
480,0ce56da3-9fd4-4701-82b6-5fb748c99d7d,Dr. Offit,"        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
481,0cbab0b9-352a-4996-bad1-f2bb288e8613,"Dr. Eric Handler , the health officer in Orange County , where 23 of the cases have been reported this year","        2. named individual with roles (e.g., ""Donald Trump, the former US president"")"
482,0bac0f57-7bdf-4aeb-93b7-8da42e4ad912,people,"          4. collective expressions (e.g. ""some people"")"
483,08af13fc-a999-4f50-af61-53caefff019d,anybody,"          4. collective expressions (e.g. ""some people"")"
484,07aa34a8-bf3c-425a-ac88-156b05b1b725,most of the people stricken with Mickey Mouse measles,"          4. collective expressions (e.g. ""some people"")"
485,0b52c913-ee50-4d07-a1af-3999dfe328e6,Tommey,"        1. named individuals (e.g., ""Donald Trump"")"
486,0b1b6d46-d8cd-4737-b221-23ad6fabf34c,an online report,"        6. inanimate and generic objects (e.g., ""a study"")"
487,073da898-e9b4-433f-9bdd-c33f120457da,Effect of measles and measles vaccine on serum cholesterol .,"        6. inanimate and generic objects (e.g., ""a study"")"
488,06c3d8e1-7640-4c34-ac67-40fb9dc3ccd3,anybody,"          4. collective expressions (e.g. ""some people"")"
489,044e78cc-c081-4fa5-9a41-21c6d85f6cf0,The researchers,"        5. collective roles (e..g., ""doctors"")"
490,06f7ffdc-68b7-47ab-a9b5-7a99af21450d,my kids,"        5. collective roles (e..g., ""doctors"")"
491,09be9925-f0dd-42ab-8cf8-1a98ab4e53b0,the mainstream media who,"        6. inanimate and generic objects (e.g., ""a study"")"
492,034dabab-4cb7-4741-bd2a-89c98bc25582,Cricket Grein,"        1. named individuals (e.g., ""Donald Trump"")"
493,03194e12-a024-49d1-80ac-41e0eeea666e,researchers,"        5. collective roles (e..g., ""doctors"")"
494,0136b021-ddd2-4084-bb38-2e8a4af5fe9d,Laura Ballegeer,"        1. named individuals (e.g., ""Donald Trump"")"
495,053d8f78-da75-4e7b-907d-1928fec0fb41,A 2007 study,"        6. inanimate and generic objects (e.g., ""a study"")"
496,008e3ea1-8402-43b1-87ae-060e8a85c243,Serologic studies in 2 dogs and virus isolation from the 3rd dog,"        6. inanimate and generic objects (e.g., ""a study"")"
497,02a5d726-0194-405e-94a8-270232240e71,Your doctor,"        3. role or profession without further specifications (e.g., ""a doctor"")"
498,041ca511-0d0d-497b-9512-ef0c8882fc12,The report,"        6. inanimate and generic objects (e.g., ""a study"")"
499,05e39811-9d38-4145-bc0c-59625a3f6fd2,Scarlet Howell,"        1. named individuals (e.g., ""Donald Trump"")"
0,f5debfb1-2c64-46eb-8855-84fb98ae6604,the science,"        6. inanimate and generic objects (e.g., ""a study"")"
1,ff65a55f-4aaa-42cc-b0d4-d9a117b1d266,Doctor,"        3. role or profession without further specifications (e.g., ""a doctor"")"
2,e8d68b50-969b-495d-aaca-f2ff2c65b588,CDR,"        6. inanimate and generic objects (e.g., ""a study"")"
